ID,Month,Quantity Manufactured (kg),Quantity Sold (kg)
1,January 2010,253,115
2,February 2010,188,163
3,March 2010,117,139
4,April 2010,242,219
5,May 2010,297,258
6,June 2010,179,209
7,July 2010,155,124
8,August 2010,209,180
9,September 2010,128,98
10,October 2010,202,162
11,November 2010,270,241
12,December 2010,112,140
13,January 2011,203,233
14,February 2011,154,193
15,March 2011,198,167
16,April 2011,241,217
17,May 2011,119,150
18,June 2011,214,238
19,July 2011,274,307
20,August 2011,119,155
21,September 2011,278,242
22,October 2011,167,129
23,November 2011,117,140
24,December 2011,196,223
25,January 2012,287,265
26,February 2012,155,186
27,March 2012,236,263
28,April 2012,135,167
29,May 2012,294,254
30,June 2012,103,123
31,July 2012,191,218
32,August 2012,254,210
33,September 2012,190,143
34,October 2012,108,85
35,November 2012,123,97
36,December 2012,257,222
37,January 2013,161,134
38,February 2013,178,150
39,March 2013,208,240
40,April 2013,139,113
41,May 2013,225,264
42,June 2013,292,263
43,July 2013,245,282
44,August 2013,155,197
45,September 2013,232,182
46,October 2013,119,139
47,November 2013,266,302
48,December 2013,287,248
49,January 2014,185,152
50,February 2014,216,229
51,March 2014,283,319
52,April 2014,299,270
53,May 2014,261,230
54,June 2014,204,185
55,July 2014,148,163
56,August 2014,164,137
57,September 2014,123,106
58,October 2014,219,247
59,November 2014,279,312
60,December 2014,145,177
61,January 2015,127,144
62,February 2015,288,324
63,March 2015,202,172
64,April 2015,134,156
65,May 2015,225,191
66,June 2015,287,260
67,July 2015,168,202
68,August 2015,277,237
69,September 2015,137,106
70,October 2015,216,196
71,November 2015,282,257
72,December 2015,165,192
73,January 2016,222,185
74,February 2016,294,279
75,March 2016,183,141
76,April 2016,152,183
77,May 2016,233,208
78,June 2016,196,169
79,July 2016,109,81
80,August 2016,134,100
81,September 2016,219,190
82,October 2016,281,305
83,November 2016,152,182
84,December 2016,184,140
85,January 2017,262,225
86,February 2017,297,267
87,March 2017,116,89
88,April 2017,178,156
89,May 2017,208,229
90,June 2017,281,252
91,July 2017,136,167
92,August 2017,119,89
93,September 2017,295,324
94,October 2017,157,123
95,November 2017,196,176
96,December 2017,217,240
97,January 2018,132,98
98,February 2018,222,182
99,March 2018,281,247
100,April 2018,184,156
